title,genres,cast,director,overview
Midsommar,Horror Drama Mystery,Florence Pugh Jack Reynor William Jackson Harper,Ari Aster,"Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities."
Eternals,Science Fiction Action Adventure,Gemma Chan Richard Madden Angelina Jolie,Chloé Zhao,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants."
The Godfather Part III,Crime Drama Thriller,Al Pacino Diane Keaton Talia Shire,Francis Ford Coppola,"In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing."
Saw,Horror Mystery Crime,Tobin Bell Cary Elwes Leigh Whannell,James Wan,"Two men wake up to find themselves shackled in a grimy, abandoned bathroom. As they struggle to comprehend their predicament, they discover a disturbing tape left behind by the sadistic mastermind known as Jigsaw. With a chilling voice and cryptic instructions, Jigsaw informs them that they must partake in a gruesome game in order to secure their freedom."
Un hombre por semana,Comedy Romance Drama,Ana de la Reguera Roberto Quijano Carlos 'Capi' Pérez,Marco Polo Constandse,A divorced woman reconstructs her life and opens herself to love. Her search for dating apps takes her through fun and unpredictable moments to discover self-love.
Maleficent,Fantasy Adventure Action Family Romance,Angelina Jolie Elle Fanning Imelda Staunton,Robert Stromberg,"A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land. She rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal – an act that begins to turn her heart into stone. Bent on revenge, Maleficent faces an epic battle with the invading King's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom – and to Maleficent's true happiness as well."
Murder on the Orient Express,Mystery Drama Crime,Kenneth Branagh Tom Bateman Michelle Pfeiffer,Kenneth Branagh,Genius Belgian detective Hercule Poirot investigates the murder of an American tycoon aboard the Orient Express train.
Murder at the Embassy,Mystery Thriller Action,Mischa Barton Richard Dillane Mido Hamada,Stephen Shimek,"1934. Private detective Miranda Green investigates a murder perpetrated in the British Embassy in Cairo, where a top secret document was stolen, risking to jeopardize both Buckingham Palace and the peace of the world. All those present in this closed place are suspected: the American photographer, the English student, the American actress, the Egyptian security guard, the ambassador interpreter, the Egyptian gardener and - why not? — the Ambassador himself. But who would have expected that a small group of Nazis would be behind a plot, risking to jeopardize both Buckingham Palace and the peace of the world?"
Kill Bill: The Whole Bloody Affair,Action Crime,Uma Thurman Lucy Liu Vivica A. Fox,Quentin Tarantino,"Quentin Tarantino's complete cut combining Kill Bill: Vol. 1 and Vol. 2 follows The Bride, a former assassin who awakens from a four-year coma after being shot by her mentor and lover, Bill. She embarks on a vengeful quest to eliminate Bill and the Deadly Viper Assassination Squad who betrayed her."
Mutiny,Action Crime Thriller,Jason Statham Annabelle Wallis Roland Møller,Jean-François Richet,"After witnessing his billionaire boss' murder and being framed for the crime, Cole Reed boards a cargo ship on a one-man crusade to avenge his boss' death only to discover an international conspiracy."
Insidious,Horror Thriller,Patrick Wilson Rose Byrne Lin Shaye,James Wan,"A family discovers that dark spirits have invaded their home after their son inexplicably falls into an endless sleep. When they reach out to a professional for help, they learn things are a lot more personal than they thought."
Captain Marvel,Action Adventure Science Fiction,Brie Larson Samuel L. Jackson Ben Mendelsohn,Ryan Fleck,"The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe."
Aladdin,Adventure Fantasy Romance Family,Will Smith Mena Massoud Naomi Scott,Guy Ritchie,A kindhearted street urchin named Aladdin embarks on a magical adventure after finding a lamp that releases a wisecracking genie while a power-hungry Grand Vizier vies for the same lamp that has the power to make their deepest wishes come true.
Insidious: Chapter 2,Horror Thriller,Patrick Wilson Rose Byrne Lin Shaye,James Wan,The haunted Lambert family seeks to uncover the mysterious childhood secret that has left them dangerously connected to the spirit world.
A Silent Voice: The Movie,Animation Drama Romance,Miyu Irino Saori Hayami Aoi Yuuki,Naoko Yamada,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?"
"Pussycat, Pussycat, I Love You",Comedy,Ian McShane Anna Calder-Marshall John Gavin,Rod Amateau,An American playwright living in Rome consults a quack psychiatrist to combat his fears of balding and save his failing marriage.
The Incredible Hulk,Science Fiction Action Adventure,Edward Norton Liv Tyler Tim Roth,Louis Leterrier,"Scientist Bruce Banner scours the planet for an antidote to the unbridled force of rage within him: the Hulk. But when the military masterminds who dream of exploiting his powers force him back to civilization, he finds himself coming face to face with a new, deadly foe."
Memento,Mystery Thriller,Guy Pearce Carrie-Anne Moss Joe Pantoliano,Christopher Nolan,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why."
The Great Flood,Science Fiction Adventure Drama,Kim Da-mi Park Hae-soo Kwon Eun-seong,Kim Byung-woo,"When a raging flood traps a researcher and her young son, a call to a crucial mission puts their escape — and the future of humanity — on the line."
Call Me by Your Name,Romance Drama,Armie Hammer Timothée Chalamet Michael Stuhlbarg,Luca Guadagnino,"In the summer of 1983, a 17-year-old Elio spends his days in his family's villa in Italy. One day Oliver, a graduate student, arrives to assist Elio's father, a professor of Greco-Roman culture. Soon, Elio and Oliver discover a summer that will alter their lives forever."
Vaazha II,Comedy Drama Action,Hashir Alan Bin Siraj Ajin Joy,Savin Sa,"Four friends – Hashir, Alan, Ajin and Vinayak – are considered losers and troublemakers by parents, family and the school management. They face immense social pressure as they reach adulthood, embarking them on an emotional journey of self discovery and acceptance, where they finally learn to take up their responsibilities and find success"
28 Years Later,Horror Thriller Science Fiction,Jodie Comer Aaron Taylor-Johnson Alfie Williams,Danny Boyle,"Twenty-eight years after the Rage virus outbreak, a heavily-defended island survives connected to the mainland by a single causeway. When one of the group leaves the island into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well."
Incoming,Comedy,Mason Thames Ramon Reed Raphael Alejandro,Dave Chernin,Their first week of high school. The biggest party of the year. Mistakes will be made as four teenage boys navigate a night of mayhem and debauchery.
Younger Sister-in-law,Romance,Park Joo-bin Kim Seon-i,Choi Woo-seong,The story of an explicit relationship between a man and his sister-in-law.
Sidelined: The QB and Me,Comedy Romance,Siena Agudong Noah Beck Drew Ray Tanner,Justin Wu,"Dallas, a burdened but headstrong dancer, is determined to get into the best dance school in the country—her late mother’s alma mater. However, that dream is suddenly derailed when the cheeky yet secretly grieving football star, Drayton, crashes into her life with a unique story of his own. Will the two of them be able to grow into their dreams together, or will their dreams be sidelined?"
Green Book,Drama Comedy History,Viggo Mortensen Mahershala Ali Linda Cardellini,Peter Farrelly,"Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book."
Minions: The Rise of Gru,Family Comedy Adventure Animation Science Fiction Fantasy Action,Steve Carell Pierre Coffin Alan Arkin,Kyle Balda,"A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions."
The Garfield Movie,Family Comedy Adventure Animation,Chris Pratt Samuel L. Jackson Hannah Waddingham,Mark Dindal,"Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist."
Edge of Darkness,Crime Drama Mystery Thriller,Mel Gibson Ray Winstone Danny Huston,Martin Campbell,"As a seasoned homicide detective, Thomas Craven has seen the bleakest side of humanity. But nothing prepares him for the toughest investigation of his life: the search for his only daughter Emma's killer. Now, he is on a personal mission to uncover the disturbing secrets surrounding her murder, including corporate corruption, government collusion and Emma's own mysterious life."
The Odyssey,Adventure Drama Fantasy,Matt Damon Tom Holland Zendaya,Christopher Nolan,"Odysseus, the legendary Greek king of Ithaca, embarks on a long and perilous journey home following the Trojan War, chronicling his encounters with mythical beings such as the Cyclops Polyphemus, the Sirens, and the witch-goddess Circe, while attempting to reunite with his wife, Penelope."
Warfare,War Action,D'Pharaoh Woon-A-Tai Will Poulter Cosmo Jarvis,Ray Mendoza,"A platoon of Navy SEALs embarks on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event."
Angels in the Outfield,Comedy Drama Family Fantasy,Paul Douglas Janet Leigh Keenan Wynn,Clarence Brown,The short-tempered manager of the Pittsburgh Pirates mends his ways in return for a little divine assistance.
Split,Horror Thriller,James McAvoy Anya Taylor-Joy Haley Lu Richardson,M. Night Shyamalan,"Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart."
Silent Hill,Horror Mystery,Radha Mitchell Sean Bean Jodelle Ferland,Christophe Gans,"Rose, a desperate mother, takes her adopted daughter, Sharon, to the town of Silent Hill in an attempt to cure her of her ailment. After a violent car crash, Sharon disappears, and Rose embarks on a horrific journey to get her back and begins to uncover the truth behind the apocalyptic disaster that burned the town 30 years earlier."
Jaws,Horror Thriller Adventure,Roy Scheider Robert Shaw Richard Dreyfuss,Steven Spielberg,"When the seaside community of Amity finds itself under attack by a dangerous great white shark, the town's chief of police, a young marine biologist, and a grizzled shark hunter embark on a desperate quest to kill the beast before it strikes again."
Scream 2,Horror Mystery,Neve Campbell Courteney Cox David Arquette,Wes Craven,"Two years after the Woodsboro murders, Sidney Prescott acclimates to college life while someone donning the Ghostface costume begins a new string of killings."
Black Adam,Action Adventure Science Fiction,Dwayne Johnson Aldis Hodge Noah Centineo,Jaume Collet-Serra,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world."
Young Sister-In-Law 2,Romance,Han Ga-hee Lee Eun-mi Lee Do-Yoon,Kim Tae-soo,"Won-jin is sent into a nearby region suddenly by the company. He is unprepared when he goes down so he calls his friend Chang-hoon who lives there. Chang-hoon lets Won-jin stay at his house for the time being but Won-jin gets to thinking.  The reason is, Chang-hoon's young wife Soo-yeong has a history with Won-jin. However, Won-jin decides to go to Chang-hoon's house to see Soo-yeong. Chang-hoon just happens to leave the house for a while and Won-jin meets Soo-yeong's glamorous friend Kyeong-hee who is also living there.  Won-jin starts living with Soo-yeong and Kyeong-hee who starts seducing him."
The Hunger Games: Catching Fire,Adventure Action Science Fiction,Jennifer Lawrence Josh Hutcherson Liam Hemsworth,Francis Lawrence,"After surviving the Hunger Games, Katniss and Peeta struggle with the consequences of their victory as unrest spreads across Panem. Forced back into the spotlight, they become symbols of hope and resistance while the Capitol prepares a new and deadly challenge that will change the future of the nation forever."
Bullet Train,Action Comedy Thriller,Brad Pitt Joey King Aaron Taylor-Johnson,David Leitch,"Unlucky assassin Ladybug is determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe—all with connected, yet conflicting, objectives—on the world's fastest train."
Pose,Thriller,James McAvoy Lucas Bravo Leila Farzad,Jamie Adams,"Isolated in a grand country manor, a reclusive artist spends a passionate and paranoid weekend with his ex-lover, an obsessive fan, and a potential muse. Hoping to spark a new wave of artistic brilliance over the course of a few tumultuous days, filled with chaos and revelation not all of them will make it out alive."
Solo Mio,Romance Comedy,Kevin James Nicole Grimaudo Kim Coates,Charles Kinnane,"After Matt's dreams of a picturesque Italian wedding are shattered when his fiancée leaves him at the altar, he embarks on his planned honeymoon across Italy alone, immersing himself in the country's vibrant culture, food, and beauty, meeting Gia along the way."
The Mummy: Tomb of the Dragon Emperor,Adventure Action Fantasy,Brendan Fraser Maria Bello John Hannah,Rob Cohen,"Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power."
Troll 2,Action Fantasy Thriller,Ine Marie Wilmann Kim S. Falck-Jørgensen Mads Sjøgård Pettersen,Roar Uthaug,"When a dangerous new troll unleashes devastation across their homeland, Nora, Andreas and Major Kris embark on their most perilous mission yet."
Eternity,Romance Comedy Drama,Elizabeth Olsen Miles Teller Callum Turner,David Freyne,"In an afterlife where souls have one week to decide where to spend eternity, Joan is faced with the impossible choice between the man she spent her life with and her first love, who died young and has waited decades for her to arrive."
E.T. the Extra-Terrestrial,Science Fiction Adventure Family Fantasy,Henry Thomas Drew Barrymore Robert MacNaughton,Steven Spielberg,"An alien is left behind on Earth and saved by the 10-year-old Elliott who decides to keep him hidden in his home. While a task force hunts for the extra-terrestrial, Elliott, his brother, and his little sister Gertie form an emotional bond with their new friend, and try to help him find his way home."
Annihilation,Science Fiction Horror,Natalie Portman Jennifer Jason Leigh Gina Rodriguez,Alex Garland,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply."
Bonolota Express,Drama Comedy,Mosharraf Karim Chanchal Chowdhury Sabila Nur,Tanim Noor,"On a foggy winter journey, the Bonolota Express carries strangers burdened by secrets whose lives begin to collide within the train’s confined corridors. As the night unfolds, personal and political crises erupt, exposing hidden grief, moral decay, and moments of unexpected compassion amid chaos and revolt. By dawn, the train moves on, leaving its passengers irrevocably changed by a single journey where illusions collapse and human truths emerge."
Drop Dead Fred,Comedy Fantasy Family,Phoebe Cates Rik Mayall Marsha Mason,Ate de Jong,"An unhappy housewife gets a lift from the return of her imaginary childhood friend, Drop Dead Fred."
The Adam Project,Adventure Science Fiction Comedy,Ryan Reynolds Walker Scobell Mark Ruffalo,Shawn Levy,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self on a mission to save the future."
Alice in Wonderland,Family Fantasy Adventure,Mia Wasikowska Johnny Depp Anne Hathaway,Tim Burton,"Alice, now 19 years old, returns to the whimsical world she first entered as a child and embarks on a journey to discover her true destiny."
Alita: Battle Angel,Action Science Fiction Adventure,Rosa Salazar Christoph Waltz Jennifer Connelly,Robert Rodriguez,"When Alita awakens with no memory of who she is in a future world she does not recognize, she is taken in by Ido, a compassionate doctor who realizes that somewhere in this abandoned cyborg shell is the heart and soul of a young woman with an extraordinary past."
Nymphomaniac: Vol. II,Drama Mystery,Charlotte Gainsbourg Stellan Skarsgård Stacy Martin,Lars von Trier,The continuation of Joe's sexually dictated life delves into the darker aspects of her adult life and what led to her being in Seligman's care.
The Usual Suspects,Drama Crime Thriller,Stephen Baldwin Gabriel Byrne Benicio del Toro,Bryan Singer,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess."
Abigail,Horror Thriller,Melissa Barrera Dan Stevens Alisha Weir,Tyler Gillett,"A group of criminals kidnap a teenage ballet dancer, the daughter of a notorious gang leader, in order to obtain a ransom of $50 million, but over time, they discover that she is not just an ordinary girl. After the kidnappers begin to diminish, one by one, they discover, to their increasing horror, that they are locked inside with no normal little girl."
Sisu,Action War Thriller,Jorma Tommila Aksel Hennie Jack Doolan,Jalmari Helander,"When an ex-soldier who discovers gold in the Lapland wilderness tries to take the loot into the city, German soldiers led by a brutal SS officer battle him."
The Giant Falls,Drama,Oscar Martínez Matías Mayer Inés Estévez,Marcos Carnevale,"Follows Boris, a charismatic tour guide who unexpectedly reunites with his estranged father Julián. Their tense and emotional encounters explore past wounds and the possibility of forgiveness."
Frozen II,Family Animation Adventure Comedy Fantasy,Idina Menzel Kristen Bell Josh Gad,Jennifer Lee,"Elsa, Anna, Kristoff and Olaf head far into the forest to learn the truth about an ancient mystery of their kingdom."
Ted,Comedy Fantasy,Mark Wahlberg Mila Kunis Seth MacFarlane,Seth MacFarlane,"John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear or his girlfriend, Lori."
Asebamu Akahadaka Tsuma,,Saeko Matsushita,,"One day in midsummer, Uchida, a contractor, visits Sawako's house to check the air conditioner. Seeing Uchida's wide chest muscles tanned with her moderate chocolate color, her married woman Sawako felt the trembling of her chest in an instant. She tries hard to hide her feelings, but her Uchida penetrates Sawako's heart and approaches her..."
Ben-Hur,History Drama Adventure,Charlton Heston Stephen Boyd Hugh Griffith,William Wyler,"In ancient Judea, a Jewish aristocrat opposing Roman occupation of his homeland reunites with his childhood friend, now a Roman commander — setting in motion a saga of betrayal, adventure, tragedy, revenge, and faith."
Incredibles 2,Action Adventure Animation Family,Craig T. Nelson Holly Hunter Sarah Vowell,Brad Bird,"Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children."
Despicable Me 2,Animation Comedy Family,Steve Carell Kristen Wiig Benjamin Bratt,Pierre Coffin,Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.
Blade,Horror Action,Wesley Snipes Stephen Dorff Kris Kristofferson,Stephen Norrington,"The Daywalker known as ""Blade"" - a half-vampire, half-mortal man - becomes the protector of humanity against an underground army of vampires."
Mission: Impossible,Adventure Action Thriller,Tom Cruise Jon Voight Emmanuelle Béart,Brian De Palma,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the prime suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score."
Die My Love,Drama,Jennifer Lawrence Robert Pattinson Sissy Spacek,Lynne Ramsay,"After inheriting a remote Montana house, Jackson moves there from New York with his partner Grace, and the couple soon welcome a child. As Jackson becomes increasingly absent and rural isolation sets in, Grace struggles with loneliness, creative frustration, and unresolved emotional wounds. What begins as an attempt at renewal gradually turns into an intense psychological descent, placing strain on their relationship and exposing the fragile balance between love, identity, and motherhood."
Sonic the Hedgehog,Action Science Fiction Comedy Family,Ben Schwartz James Marsden Tika Sumpter,Jeff Fowler,"Powered with incredible speed, Sonic The Hedgehog embraces his new home on Earth. That is, until Sonic sparks the attention of super-uncool evil genius Dr. Robotnik. Now it’s super-villain vs. super-sonic in an all-out race across the globe to stop Robotnik from using Sonic’s unique power for world domination."
Aladdin,Animation Family Adventure Fantasy Romance,Scott Weinger Robin Williams Linda Larkin,Ron Clements,"In the boorish city of Agrabah, kind-hearted street urchin Aladdin and Princess Jasmine fall in love, although she can only marry a prince. He and power-hungry Grand Vizier Jafar vie for a magic lamp that can fulfill their wishes."
Sonic the Hedgehog,Action Science Fiction Comedy Family,Ben Schwartz James Marsden Tika Sumpter,Jeff Fowler,"Powered with incredible speed, Sonic The Hedgehog embraces his new home on Earth. That is, until Sonic sparks the attention of super-uncool evil genius Dr. Robotnik. Now it’s super-villain vs. super-sonic in an all-out race across the globe to stop Robotnik from using Sonic’s unique power for world domination."
Aladdin,Animation Family Adventure Fantasy Romance,Scott Weinger Robin Williams Linda Larkin,Ron Clements,"In the boorish city of Agrabah, kind-hearted street urchin Aladdin and Princess Jasmine fall in love, although she can only marry a prince. He and power-hungry Grand Vizier Jafar vie for a magic lamp that can fulfill their wishes."
Terrifier 3,Horror,Lauren LaVera David Howard Thornton Samantha Scaffidi,Damien Leone,"Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe."
Thaai Kizhavi,Comedy Drama,Radikaa Sarathkumar Singampuli Aruldoss,Sivakumar Murugesan,"Pavunuthaayi is a fiercely independent, intimidating elderly woman in a rural village, known for being tough, ruthless, and blunt-especially as a moneylender whose strict enforcement of dues makes her feared by locals."
The Girl Next Door,Comedy Romance,Emile Hirsch Elisha Cuthbert Timothy Olyphant,Luke Greenfield,"Exceptionally ambitious high schooler Matthew has aspirations for a career in politics when he falls in love with his gorgeous 19-year-old neighbor, Danielle. But Matthew's bright future is jeopardized when he finds Danielle was once a porn star. As Danielle's past catches up with her, Matthew's love for her forces him to re-evaluate his goals."
Cobweb,Horror,Lizzy Caplan Antony Starr Cleopatra Coleman,Samuel Bodin,"Eight year old Peter is plagued by a mysterious, constant tapping from inside his bedroom wall—one that his parents insist is all in his imagination. As Peter's fear intensifies, he believes that his parents could be hiding a terrible, dangerous secret and questions their trustworthiness."
How to Train Your Dragon 2,Fantasy Action Adventure Animation Family,Jay Baruchel Cate Blanchett Gerard Butler,Dean DeBlois,"Five years after uniting the dragons and Vikings of Berk, Hiccup and Toothless soar beyond their homeland, charting the vast unknown. During one of their adventures, the pair discover a secret cave that houses hundreds of wild dragons -- and a mysterious dragon rider with a startling connection to Hiccup. And as the ruthless dragon conqueror Drago Bludvist rises to seize control of both dragons and people alike, Hiccup must step into his role as a true leader and, alongside his friends and Toothless, protect Berk from a devastating war."
Ice Age: The Meltdown,Animation Family Comedy Adventure,Ray Romano John Leguizamo Denis Leary,Carlos Saldanha,"Diego, Manny and Sid return in this sequel to the hit animated movie Ice Age. This time around, the deep freeze is over, and the ice-covered earth is starting to melt, which will destroy the trio's cherished valley. The impending disaster prompts them to reunite and warn all the other beasts about the desperate situation."
American History X,Drama,Edward Norton Edward Furlong Beverly D'Angelo,Tony Kaye,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did."
Bhooth Bangla,Horror Comedy,Akshay Kumar Wamiqa Gabbi Paresh Rawal,Priyadarshan,"A man inherits a palace in rural Mangalpur and plans his sister's wedding there, but strange supernatural events and panicked locals force him to investigate the property's mysterious past."
A Clockwork Orange,Science Fiction Crime,Malcolm McDowell Patrick Magee Carl Duering,Stanley Kubrick,"In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?"
Hercules,Animation Family Fantasy Adventure Comedy Romance,Tate Donovan Josh Keaton Roger Bart,Ron Clements,"Bestowed with superhuman strength, a young mortal named Hercules sets out to prove himself a hero in the eyes of his father, the great god Zeus. Along with his friends Pegasus, a flying horse, and Phil, a personal trainer, Hercules is tricked by the hilarious, hotheaded villain Hades, who's plotting to take over Mount Olympus!"
Everything Everywhere All at Once,Action Adventure Science Fiction,Michelle Yeoh Stephanie Hsu Ke Huy Quan,Daniel Scheinert,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes."
Encanto,Animation Comedy Family Fantasy,Stephanie Beatriz María Cecilia Botero John Leguizamo,Byron Howard,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope."
The Mother,Drama Romance,Anne Reid Daniel Craig Peter Vaughan,Roger Michell,"A grandmother has a passionate affair with a man half her age, who is also sleeping with her daughter."
Scream 4,Horror Mystery,David Arquette Neve Campbell Courteney Cox,Wes Craven,"Fifteen years after the original Woodsboro murders, Sidney Prescott returns home to promote her new book about surviving trauma, only for a new Ghostface killer to emerge, targeting a new group of teens."
The Gates,Thriller,Mason Gooding Algee Smith Keith Powers,John Burr,"Three friends' road trip turns terrifying when they witness a murder in a gated community. Trapped inside, hunted by residents who blame them, their bond fractures as a charismatic yet sinister patriarch closes in."
The Key,Drama,Kayo Matsuo Masumi Okada Yuo Taguchi,Akitaka Kimata,
Corpse Bride,Romance Fantasy Animation,Johnny Depp Helena Bonham Carter Emily Watson,Mike Johnson,"In a 19th-century European village, a young man about to be married is whisked away to the underworld and wed to a mysterious corpse bride, while his real bride waits bereft in the land of the living."
The Matrix Resurrections,Science Fiction Action Adventure,Keanu Reeves Carrie-Anne Moss Yahya Abdul-Mateen II,Lana Wachowski,"Plagued by strange memories, Neo's life takes an unexpected turn when he finds himself back inside the Matrix."
Beauty from Pain,Romance Drama,Samantha Allsop Jackson Gallagher Arielle Cartwright,Christine Luby,"After a devastating heartbreak, an aspiring musician escapes to Australia. She agrees to a no-strings romance with a billionaire winemaker, but when she falls in love she must choose to walk away or risk her heart on a man afraid to love."
28 Weeks Later,Horror Thriller Science Fiction,Robert Carlyle Rose Byrne Jeremy Renner,Juan Carlos Fresnadillo,"Twenty-eight weeks after the spread of a deadly rage virus, the inhabitants of the British Isles have lost their battle against the onslaught, as the virus has killed everyone there. Six months later, a group of Americans dare to set foot on the Isles, convinced the danger has passed. But it soon becomes all too clear that the scourge continues to live, waiting to pounce on its next victims."
Youth,Comedy Romance Drama,Ken Karunaas Anishma Anilkumar Suraj Venjaramoodu,Ken Karunaas,"Youth follows Praveen, a 15-year-old boy who enters adolescence determined to find true love before school ends. As he goes through multiple relationships and heartbreaks, he slowly begins to understand what love truly means. Along the way, the experiences shape his growth, maturity, and outlook on life."
Lucy,Action Science Fiction,Scarlett Johansson Morgan Freeman Choi Min-sik,Luc Besson,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic."
The Mask,Comedy Fantasy Crime Romance,Jim Carrey Peter Riegert Peter Greene,Chuck Russell,"Stanley Ipkiss, an insecure banker who has lost his zest for life stumbles upon an ancient mask, that turns him into a confident suave cartoon-like character who upsets his ordinary life."
Constantine,Fantasy Action Horror,Keanu Reeves Rachel Weisz Shia LaBeouf,Francis Lawrence,"John Constantine has literally been to Hell and back. When he teams up with a policewoman to solve the mysterious suicide of her twin sister, their investigation takes them through the world of demons and angels that exists beneath the landscape of contemporary Los Angeles."
The Lion King,Adventure Drama Family Animation,Chiwetel Ejiofor John Oliver Donald Glover,Jon Favreau,"Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother—and former heir to the throne—has plans of his own. The battle for Pride Rock is ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. With help from a curious pair of newfound friends, Simba will have to figure out how to grow up and take back what is rightfully his."
Colombiana,Action Thriller Crime Drama,Zoe Saldaña Cliff Curtis Callum Blue,Olivier Megaton,"After witnessing her parents’ murder as a child in Bogota, Cataleya Restrepo grows up to be a stone-cold assassin. She works for her uncle as a hitman by day, but her personal time is spent engaging in vigilante murders that she hopes will lead her to her ultimate target: the mobster responsible for her parents' death."
